,Company,Group,Current Price (Rs),Prev Close (Rs),Change,% Change
0,Bharti Airtel Ltd.,A,490.15,510.60,-20.45,-4.01
1,Coforge Ltd.,A,2402.40,2556.55,-154.15,-6.03
2,Dish TV India Ltd.,A,12.90,14.15,-1.25,-8.83
3,HCL Technologies Ltd.,A,869.55,891.05,-21.50,-2.41
4,HFCL Ltd.,A,22.90,24.30,-1.40,-5.76
5,ITI Ltd.,A,121.35,131.10,-9.75,-7.44
6,IndiaMART InterMESH Ltd.,A,5694.75,6095.05,-400.30,-6.57
7,Indus Towers Ltd.,A,231.60,230.85,+0.75,+0.32
8,Infosys Ltd.,A,1176.30,1189.75,-13.45,-1.13
9,Inox Leisure Ltd.,A,266.80,281.50,-14.70,-5.22
10,Jagran Prakashan Ltd.,A,40.20,43.15,-2.95,-6.84
11,Just Dial Ltd.,A,598.85,652.25,-53.40,-8.19
12,Larsen & Toubro Infotech Ltd.,A,3375.00,3351.40,+23.60,+0.70
13,MindTree Ltd.,A,1425.85,1475.25,-49.40,-3.35
14,MphasiS Ltd.,A,1390.60,1370.15,+20.45,+1.49
15,Navneet Education Ltd.,A,79.50,84.05,-4.55,-5.41
16,Oracle Financial Services Software Ltd.,A,3101.75,3167.45,-65.70,-2.07
17,PVR Ltd.,A,1334.70,1434.65,-99.95,-6.97
18,Sterlite Technologies Ltd.,A,160.85,161.95,-1.10,-0.68
19,Sun TV Network Ltd.,A,456.30,483.50,-27.20,-5.63
20,TV18 Broadcast Ltd.,A,29.95,32.15,-2.20,-6.84
21,Tata Communications Ltd.,A,957.15,997.45,-40.30,-4.04
22,Tata Consultancy Services Ltd.,A,2818.75,2862.60,-43.85,-1.53
23,Tech Mahindra Ltd.,A,906.20,933.35,-27.15,-2.91
24,Vodafone Idea Ltd.,A,9.22,9.84,-0.62,-6.30
25,Wipro Ltd.,A,354.70,363.50,-8.80,-2.42
26,Zee Entertainment Enterprises Ltd.,A,212.20,225.30,-13.10,-5.81
